Year,Location,Province,EarningBracket ($),NoContributers
2013,N.W.T.,Northwest Territories,48300 - 49999,368
2013,N.W.T.,Northwest Territories,50000 - 54999,969
2013,N.W.T.,Northwest Territories,55000 - 59999,938
2013,N.W.T.,Northwest Territories,60000 - 64999,905
2013,N.W.T.,Northwest Territories,65000 - 69999,897
2013,N.W.T.,Northwest Territories,70000 - 74999,933
2013,N.W.T.,Northwest Territories,75000 - 79999,823
2013,N.W.T.,Northwest Territories,80000 - 84999,881
2013,N.W.T.,Northwest Territories,85000 - 89999,880
2013,N.W.T.,Northwest Territories,90000 - 94999,863
2013,N.W.T.,Northwest Territories,95000 - 99999,"6,084"
2013,N.W.T.,Northwest Territories,"100,000+","2,190"
2014,N.W.T.,Northwest Territories,$0 - $3499,485
2014,N.W.T.,Northwest Territories,$3500 -$ 4999,642
2014,N.W.T.,Northwest Territories,5000 - 9999,"1,843"
2014,N.W.T.,Northwest Territories,10000 - 14999,"1,582"
2014,N.W.T.,Northwest Territories,15000 - 19999,"1,412"
2014,N.W.T.,Northwest Territories,20000 - 24999,"1,275"
2014,N.W.T.,Northwest Territories,25000 - 29999,"1,151"
2014,N.W.T.,Northwest Territories,30000 - 34999,"1,111"
2014,N.W.T.,Northwest Territories,35000 - 39999,"1,078"
2014,N.W.T.,Northwest Territories,40000 - 44999,"1,078"
2014,N.W.T.,Northwest Territories,45000 - 48299,"1,084"
2014,N.W.T.,Northwest Territories,48300 - 49999,663
2014,N.W.T.,Northwest Territories,50000 - 54999,"1,260"
2014,N.W.T.,Northwest Territories,55000 - 59999,899
2014,N.W.T.,Northwest Territories,60000 - 64999,889
2014,N.W.T.,Northwest Territories,65000 - 69999,921
2014,N.W.T.,Northwest Territories,70000 - 74999,879
2014,N.W.T.,Northwest Territories,75000 - 79999,896
2014,N.W.T.,Northwest Territories,80000 - 84999,832
2014,N.W.T.,Northwest Territories,85000 - 89999,849
2014,N.W.T.,Northwest Territories,90000 - 94999,839
2014,N.W.T.,Northwest Territories,95000 - 99999,"6,451"
2014,N.W.T.,Northwest Territories,"100,000+","1,706"
2015,N.W.T.,Northwest Territories,$0 - $3499,455
2015,N.W.T.,Northwest Territories,$3500 -$ 4999,627
2015,N.W.T.,Northwest Territories,5000 - 9999,"1,894"
2015,N.W.T.,Northwest Territories,10000 - 14999,"1,650"
2015,N.W.T.,Northwest Territories,15000 - 19999,"1,437"
2015,N.W.T.,Northwest Territories,20000 - 24999,"1,273"
2015,N.W.T.,Northwest Territories,25000 - 29999,"1,162"
2015,N.W.T.,Northwest Territories,30000 - 34999,"1,077"
2015,N.W.T.,Northwest Territories,35000 - 39999,"1,095"
2015,N.W.T.,Northwest Territories,40000 - 44999,"1,035"
2015,N.W.T.,Northwest Territories,45000 - 48299,"1,071"
2015,N.W.T.,Northwest Territories,48300 - 49999,855
2015,N.W.T.,Northwest Territories,50000 - 54999,507
2015,N.W.T.,Northwest Territories,55000 - 59999,902
2015,N.W.T.,Northwest Territories,60000 - 64999,907
2015,N.W.T.,Northwest Territories,65000 - 69999,865
2015,N.W.T.,Northwest Territories,70000 - 74999,864
2015,N.W.T.,Northwest Territories,75000 - 79999,914
2015,N.W.T.,Northwest Territories,80000 - 84999,866
2015,N.W.T.,Northwest Territories,85000 - 89999,888
2015,N.W.T.,Northwest Territories,90000 - 94999,844
2015,N.W.T.,Northwest Territories,95000 - 99999,"9,606"
2015,N.W.T.,Northwest Territories,"100,000+",
2016,N.W.T.,Northwest Territories,$0 - $3499,450
2016,N.W.T.,Northwest Territories,$3500 -$ 4999,598
2016,N.W.T.,Northwest Territories,5000 - 9999,"1,851"
2016,N.W.T.,Northwest Territories,10000 - 14999,"1,597"
2016,N.W.T.,Northwest Territories,15000 - 19999,"1,431"
2016,N.W.T.,Northwest Territories,20000 - 24999,"1,246"
2016,N.W.T.,Northwest Territories,25000 - 29999,"1,124"
2016,N.W.T.,Northwest Territories,30000 - 34999,"1,143"
2016,N.W.T.,Northwest Territories,35000 - 39999,"1,071"
2016,N.W.T.,Northwest Territories,40000 - 44999,"1,082"
2016,N.W.T.,Northwest Territories,45000 - 48299,996
2016,N.W.T.,Northwest Territories,48300 - 49999,"1,084"
2016,N.W.T.,Northwest Territories,50000 - 54999,99
2016,N.W.T.,Northwest Territories,55000 - 59999,947
2016,N.W.T.,Northwest Territories,60000 - 64999,964
2016,N.W.T.,Northwest Territories,65000 - 69999,893
2016,N.W.T.,Northwest Territories,70000 - 74999,895
2016,N.W.T.,Northwest Territories,75000 - 79999,922
2016,N.W.T.,Northwest Territories,80000 - 84999,838
2016,N.W.T.,Northwest Territories,85000 - 89999,889
2016,N.W.T.,Northwest Territories,90000 - 94999,806
2016,N.W.T.,Northwest Territories,95000 - 99999,"9,228"
2016,N.W.T.,Northwest Territories,"100,000+",
2017,N.W.T.,Northwest Territories,$0 - $3499,378
2017,N.W.T.,Northwest Territories,$3500 -$ 4999,638
2017,N.W.T.,Northwest Territories,5000 - 9999,"1,756"
2017,N.W.T.,Northwest Territories,10000 - 14999,"1,589"
2017,N.W.T.,Northwest Territories,15000 - 19999,"1,478"
2017,N.W.T.,Northwest Territories,20000 - 24999,"1,226"
2017,N.W.T.,Northwest Territories,25000 - 29999,"1,084"
2017,N.W.T.,Northwest Territories,30000 - 34999,"1,044"
2017,N.W.T.,Northwest Territories,35000 - 39999,"1,083"
2017,N.W.T.,Northwest Territories,40000 - 44999,987
2017,N.W.T.,Northwest Territories,45000 - 48299,973
2017,N.W.T.,Northwest Territories,48300 - 49999,939
2017,N.W.T.,Northwest Territories,50000 - 54999,241
2017,N.W.T.,Northwest Territories,55000 - 59999,939
2017,N.W.T.,Northwest Territories,60000 - 64999,933
2017,N.W.T.,Northwest Territories,65000 - 69999,846
2017,N.W.T.,Northwest Territories,70000 - 74999,868
